table_name,year_value,year_unit,year_start_month,month,variable,commodity_element,market_segment,geographic_extent,value,unit
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,October,NA,Yield,Grapefruit,All,Texas,13.52798,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,8.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,9.39024,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,199.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1981/82,Marketing year,September,NA,Yield,Grapefruit,All,United States,14.45505,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,128.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,September,NA,Yield,Grapefruit,All,Florida,13.01711,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,November,NA,Area bearing,Grapefruit,All,California,21.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,November,NA,Yield,Grapefruit,All,California,10.96774,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,42.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,October,NA,Yield,Grapefruit,All,Texas,10.61611,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,6.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,15.44,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,199.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1982/83,Marketing year,September,NA,Yield,Grapefruit,All,United States,12.37,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,119.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,September,NA,Yield,Grapefruit,All,Florida,14.53177,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,November,NA,Area bearing,Grapefruit,All,California,21.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,November,NA,Yield,Grapefruit,All,California,10.87,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,43.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,October,NA,Yield,Grapefruit,All,Texas,2.95612,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,6.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,11.77,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,191.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1983/84,Marketing year,September,NA,Yield,Grapefruit,All,United States,11.4,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,115.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,September,NA,Yield,Grapefruit,All,Florida,16.19048,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,November,NA,Area bearing,Grapefruit,All,California,21.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,November,NA,Yield,Grapefruit,All,California,13.69668,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,19.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,October,NA,Yield,Grapefruit,All,Texas,NA,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,7.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,15.07,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,162.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1984/85,Marketing year,September,NA,Yield,Grapefruit,All,United States,13.92,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,105.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,September,NA,Yield,Grapefruit,All,Florida,18.9058,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,November,NA,Area bearing,Grapefruit,All,California,20.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,November,NA,Yield,Grapefruit,All,California,12.72727,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,13.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,October,NA,Yield,Grapefruit,All,Texas,0.67,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,15.79,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,145.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1985/86,Marketing year,September,NA,Yield,Grapefruit,All,United States,16.2,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,106,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,September,NA,Yield,Grapefruit,All,Florida,19.96226,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,November,NA,Area bearing,Grapefruit,All,California,20.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,November,NA,Yield,Grapefruit,All,California,14.66346,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,15.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,October,NA,Yield,Grapefruit,All,Texas,5.16,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,14.92,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,147.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1986/87,Marketing year,September,NA,Yield,Grapefruit,All,United States,17.49,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,106,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,September,NA,Yield,Grapefruit,All,Florida,21.59434,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,November,NA,Area bearing,Grapefruit,All,California,20.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,November,NA,Yield,Grapefruit,All,California,14.39614,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,16,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,October,NA,Yield,Grapefruit,All,Texas,9.5,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,10.33333,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,148.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1987/88,Marketing year,September,NA,Yield,Grapefruit,All,United States,18.83658,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,106.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,September,NA,Yield,Grapefruit,All,Florida,21.76801,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,November,NA,Area bearing,Grapefruit,All,California,19.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,November,NA,Yield,Grapefruit,All,California,13.21608,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,16.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,October,NA,Yield,Grapefruit,All,Texas,11.36095,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,6.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,9.53846,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,150.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1988/89,Marketing year,September,NA,Yield,Grapefruit,All,United States,18.93475,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,103,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,September,NA,Yield,Grapefruit,All,Florida,14.73786,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,November,NA,Area bearing,Grapefruit,All,California,19.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,November,NA,Yield,Grapefruit,All,California,16.14583,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,18.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,October,NA,Yield,Grapefruit,All,Texas,4.27807,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,6.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,10.9375,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,147.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1989/90,Marketing year,September,NA,Yield,Grapefruit,All,United States,13.42838,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,104.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,September,NA,Yield,Grapefruit,All,Florida,18.39731,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,November,NA,Area bearing,Grapefruit,All,California,18.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,November,NA,Yield,Grapefruit,All,California,14.31694,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,4.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,October,NA,Yield,Grapefruit,All,Texas,NA,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,6.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,12.41935,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,133.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1990/91,Marketing year,September,NA,Yield,Grapefruit,All,United States,16.93694,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,104.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,September,NA,Yield,Grapefruit,All,Florida,17.2125,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,November,NA,Area bearing,Grapefruit,All,California,18.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,November,NA,Yield,Grapefruit,All,California,18.1235,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,7.5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,October,NA,Yield,Grapefruit,All,Texas,0.36,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,15.9125,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,136.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1991/92,Marketing year,September,NA,Yield,Grapefruit,All,United States,16.28111,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,111.9,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,September,NA,Yield,Grapefruit,All,Florida,20.9525,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,November,NA,Area bearing,Grapefruit,All,California,17.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,November,NA,Yield,Grapefruit,All,California,17.3195,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,10.09,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,October,NA,Yield,Grapefruit,All,Texas,7.44,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,12.4285,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,145.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1992/93,Marketing year,September,NA,Yield,Grapefruit,All,United States,19.16896,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,118.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,September,NA,Yield,Grapefruit,All,Florida,18.36,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,November,NA,Area bearing,Grapefruit,All,California,18,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,November,NA,Yield,Grapefruit,All,California,17.3195,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,12.76,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,October,NA,Yield,Grapefruit,All,Texas,9.4,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5.6,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,10.4855,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,154.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1993/94,Marketing year,September,NA,Yield,Grapefruit,All,United States,17.20103,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,127.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,September,NA,Yield,Grapefruit,All,Florida,18.62,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,November,NA,Area bearing,Grapefruit,All,California,18.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,November,NA,Yield,Grapefruit,All,California,16.9175,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,15,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,October,NA,Yield,Grapefruit,All,Texas,12.44,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,8.6765,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,166.1,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1994/95,Marketing year,September,NA,Yield,Grapefruit,All,United States,17.53161,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,132.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,September,NA,Yield,Grapefruit,All,Florida,16.745,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,November,NA,Area bearing,Grapefruit,All,California,18.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,November,NA,Yield,Grapefruit,All,California,14.4385,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,17.7,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,October,NA,Yield,Grapefruit,All,Texas,10.28,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,5,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,8.04,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,174.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1995/96,Marketing year,September,NA,Yield,Grapefruit,All,United States,15.5938,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,139.2,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,September,NA,Yield,Grapefruit,All,Florida,17.0425,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,November,NA,Area bearing,Grapefruit,All,California,18,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,November,NA,Yield,Grapefruit,All,California,15.276,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,20.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,October,NA,Yield,Grapefruit,All,Texas,10.4,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,November,NA,Area bearing,Grapefruit,All,Arizona,4.4,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,November,NA,Yield,Grapefruit,All,Arizona,6.097,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,September,NA,Area bearing,Grapefruit,All,United States,182,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1996/97,Marketing year,September,NA,Yield,Grapefruit,All,United States,15.85165,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,September,NA,Area bearing,Grapefruit,All,Florida,127.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,September,NA,Yield,Grapefruit,All,Florida,16.49,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,November,NA,Area bearing,Grapefruit,All,California,16.8,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,November,NA,Yield,Grapefruit,All,California,15.946,tons per acre
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,October,NA,Area bearing,Grapefruit,All,Texas,21.3,thousand acres
"Table C-1--Grapefruit: Area bearing and yield, by State, 1980/81 to date",1997/98,Marketing year,October,NA,Yield,Grapefruit,All,Texas,9,tons per acre
